Importations ( en milliers de tonnes),Pertes ( en milliers de tonnes),Production ( en milliers de tonnes),Score stabilité politique,Balance commercial ( en millier de tonnes),P.I.B par habitants ( Valeur en dollars américains en termes nominaux)
29.0,2.0,28.0,-2.8,-29.0,520.6164092832751
514.0,83.0,1667.0,-0.28,-451.0,6121.8765721782775
38.0,0.0,13.0,0.38,-38.0,4514.204908242201
2.0,13.0,275.0,-0.92,-2.0,4109.696001460671
842.0,0.0,1514.0,0.59,-196.0,44651.82910208204
277.0,2.0,42.0,-0.38,-277.0,4095.811686217077
7.0,0.0,0.0,0.75,-7.0,15383.415190828495
722.0,0.0,616.0,-0.64,-712.0,20802.464927773868
8.0,106.0,2161.0,0.17,199.0,14648.845969287031
35.0,0.0,11.0,-0.62,-35.0,3914.52524576447
16.0,0.0,1269.0,0.9,26.0,57628.86384865823
110.0,0.0,148.0,1.05,-32.0,47309.0516373143
27.0,0.0,104.0,-0.75,-27.0,4150.868844080233
24.0,0.0,6.0,0.99,-24.0,32376.129779570667
0.0,10.0,249.0,-1.26,0.0,1538.2336269026032
2.0,0.0,15.0,0.97,-2.0,17419.313703569132
338.0,0.0,463.0,0.43,318.0,44025.90324725204
0.0,0.0,20.0,0.04,0.0,4909.6830552813035
1.0,27.0,533.0,-0.28,0.0,3351.1273993989917
10.0,0.0,61.0,-0.35,-2.0,5394.741460976719
3.0,0.0,5.0,1.02,-3.0,7893.362919712664
3.0,0.0,14201.0,-0.47,4220.0,9928.675992078537
108.0,0.0,107.0,0.33,-63.0,8335.277985718718
0.0,2.0,46.0,-0.93,0.0,734.9962817626254
21.0,0.0,463.0,-0.05,131.0,5790.908054416871
123.0,0.0,18.0,0.03,-123.0,1136.5933602250268
12.0,0.0,1.0,0.77,-12.0,3292.6383577241218
10.0,1.0,28.0,0.09,-10.0,1385.2604194196051
0.0,4.0,81.0,-1.1,0.0,1425.1060720205464
182.0,0.0,1417.0,1.1,-19.0,44906.74891992956
155.0,0.0,712.0,0.42,-40.0,14998.813979245431
907.0,0.0,24.0,0.83,-244.0,46705.02781289957
23.0,0.0,3.0,1.43,-23.0,81043.96865488247
161.0,0.0,652.0,0.86,-153.0,48786.5744078049
14.0,1.0,25.0,0.54,-13.0,19387.26866314367
78.0,78.0,1564.0,-0.77,-76.0,6376.707362336646
104.0,0.0,7.0,-0.53,-104.0,2154.629047517021
17.0,0.0,133.0,0.61,-14.0,12225.57717162624
24.0,0.0,61.0,0.69,-7.0,13439.243178286993
312.0,0.0,29.0,0.65,-312.0,8541.21443968007
7.0,3.0,58.0,-1.09,-7.0,2111.0268089127067
133.0,0.0,173.0,0.87,6.0,57938.79772774295
3.0,0.0,0.0,-0.74,-3.0,2930.696962924439
4.0,0.0,0.0,1.2,-4.0,7286.797839290213
16.0,0.0,136.0,-0.26,-14.0,3910.2531791013516
205.0,66.0,1515.0,0.28,7.0,28137.441564023637
21.0,1.0,20.0,0.65,-10.0,20406.691806819817
2.0,0.0,6.0,-0.27,-2.0,3913.145927516325
3.0,0.0,23.0,0.62,-3.0,6101.130428886136
16.0,0.0,129.0,1.08,-4.0,46385.55087581656
506.0,0.0,1750.0,0.28,-5.0,40022.37244086283
226.0,0.0,4444.0,-0.64,-111.0,10817.003314854175
76.0,0.0,4.0,-0.1,-76.0,7230.476275436818
16.0,0.0,2.0,-0.08,-16.0,679.7784726334518
151.0,0.0,60.0,0.09,-151.0,2074.1754430280207
7.0,0.0,1.0,1.01,-7.0,10152.832810217003
79.0,0.0,246.0,-0.07,-50.0,18907.740557928748
129.0,12.0,235.0,-0.65,-122.0,4236.1149056131935
37.0,1.0,13.0,-0.7,-37.0,855.5750570601961
4.0,0.0,3.0,-0.5,-4.0,738.5502856720884
0.0,0.0,31.0,-0.04,0.0,6124.922066195232
51.0,0.0,22.0,-0.37,-46.0,4051.8428040300187
89.0,0.0,9.0,-0.67,-89.0,1387.4388263876838
12.0,0.0,193.0,-0.56,-11.0,2453.7295733922524
58.0,18.0,493.0,0.81,152.0,14711.084219825992
0.0,695.0,3545.0,-0.76,4.0,1960.3903404099146
1.0,113.0,2301.0,-0.5,-1.0,3837.578116691002
6.0,0.0,2174.0,-0.93,39.0,6243.780412416742
470.0,5.0,96.0,-2.31,-470.0,4985.453727834431
99.0,0.0,110.0,1.0,-6.0,70568.3024440602
2.0,0.0,10.0,1.35,-2.0,73949.76921466658
0.0,29.0,629.0,-0.89,3.0,43096.0696970638
97.0,0.0,1315.0,0.31,86.0,32333.550863396318
31.0,0.0,128.0,0.31,-30.0,5070.097884929308
1069.0,56.0,2215.0,1.11,-1059.0,38672.407739920855
64.0,0.0,210.0,-0.45,-54.0,4231.464852236031
174.0,0.0,171.0,0.03,-168.0,9225.974207604539
0.0,2.0,35.0,-1.13,0.0,1634.068743538329
25.0,0.0,7.0,-0.38,-25.0,1244.470221090312
1.0,0.0,1.0,0.88,-1.0,1648.5726712100773
137.0,0.0,56.0,-0.05,-133.0,29754.636332101363
15.0,0.0,2.0,-0.19,-15.0,1101.8033974107043
43.0,0.0,33.0,0.46,-23.0,15623.931571828567
13.0,0.0,64.0,-1.63,-9.0,7819.604670253409
48.0,0.0,15.0,-0.33,-48.0,587.5940458838006
44.0,0.0,118.0,0.78,24.0,16784.45981217496
11.0,0.0,0.0,1.33,-10.0,111017.18224561166
40.0,0.0,2.0,-0.25,-39.0,5430.875558838729
0.0,2.0,81.0,-0.3,0.0,515.2933032392938
68.0,82.0,1724.0,0.12,-24.0,10259.210255664057
0.0,7.0,130.0,-0.25,0.0,506.13721511634617
12.0,0.0,0.0,0.23,-12.0,9577.289370308741
1.0,0.0,48.0,-1.91,-1.0,830.0213996217676
9.0,0.0,4.0,1.25,-9.0,30850.173569929648
3.0,0.0,762.0,-0.37,-2.0,3082.5993044652305
2.0,0.0,48.0,0.97,-2.0,10485.851087268555
24.0,0.0,5.0,-0.63,-24.0,1587.8633535470524
972.0,161.0,3249.0,-0.8,-963.0,9287.841557324951
10.0,0.0,0.0,0.79,-10.0,3669.4092349313664
8.0,0.0,4.0,-0.06,-8.0,7738.844300890906
24.0,4.0,92.0,-0.93,-24.0,461.4147535528094
3.0,45.0,1662.0,-1.08,-3.0,1277.7436979327483
29.0,0.0,11.0,0.63,-17.0,5363.907541434751
6.0,0.0,143.0,-0.05,-6.0,2159.158239525276
3.0,1.0,19.0,-1.27,-3.0,517.7718809434997
0.0,10.0,201.0,-2.0,0.0,1968.687237300792
2.0,0.0,101.0,1.17,-2.0,75220.81444174697
9.0,0.0,1.0,0.28,-9.0,33101.384337001626
1.0,0.0,223.0,1.6,22.0,43943.48462814178
0.0,3.0,58.0,-0.61,0.0,1065.5142069276594
126.0,0.0,7.0,0.75,-110.0,15130.543438089915
0.0,3.0,65.0,-0.57,0.0,767.1017045911116
2.0,64.0,1281.0,-2.41,2.0,1455.9917418243147
20.0,2.0,198.0,0.39,-20.0,15146.390070637039
1.0,0.0,45.0,0.0,3.0,5678.867540131069
608.0,0.0,1100.0,0.92,810.0,48989.6388157177
249.0,62.0,1272.0,-1.19,-247.0,3123.244296457477
55.0,27.0,2351.0,0.52,970.0,13872.46690662021
15.0,0.0,1.0,0.28,-15.0,21127.52781218535
82.0,0.0,361.0,1.12,-38.0,21515.021024778376
60.0,316.0,1465.0,-0.26,-59.0,6710.531502913501
146.0,0.0,392.0,0.06,-77.0,10771.150493724703
779.0,0.0,1814.0,0.39,-420.0,40448.36586183559
0.0,1.0,19.0,0.09,0.0,772.2931702223219
4.0,0.0,7.0,-2.01,-4.0,450.9006969721431
137.0,0.0,838.0,0.39,-131.0,31781.123319688868
16.0,0.0,54.0,-0.32,-16.0,2381.895177802016
42.0,0.0,339.0,0.16,-36.0,7609.365033961426
0.0,1.0,43.0,-0.5,0.0,682.8487781964682
2.0,5.0,105.0,-0.56,-2.0,1001.1609186690189
4.0,0.0,0.0,0.65,-4.0,19155.431722547793
9.0,0.0,0.0,0.89,-9.0,7212.9601828330005
10.0,0.0,1.0,0.99,-10.0,11034.68489229307
17.0,0.0,0.0,1.18,-17.0,4223.478961054916
2.0,0.0,1.0,0.19,-2.0,1828.194018030895
12.0,0.0,85.0,0.09,-5.0,5003.503580785057
14.0,1.0,17.0,-0.04,-14.0,499.38123981511194
63.0,0.0,71.0,0.91,-28.0,17510.14429009343
20.0,0.0,72.0,0.87,9.0,23400.72425740214
2.0,3.0,67.0,-1.98,-2.0,2990.9948432128795
0.0,10.0,192.0,-0.07,2.0,4138.0151998065885
51.0,0.0,91.0,1.26,-47.0,83313.01399180965
18.0,0.0,10.0,0.13,-13.0,5947.369350530065
84.0,0.0,157.0,0.98,-61.0,54621.34582422672
0.0,4.0,77.0,-0.05,0.0,1361.7022143273828
38.0,0.0,2.0,-0.67,-38.0,848.6684351193004
1.0,0.0,6.0,-1.29,-1.0,692.1616295480121
116.0,0.0,163.0,1.0,-89.0,20545.836142615462
2.0,32.0,1676.0,-0.75,794.0,6593.816870397419
11.0,0.0,1.0,0.07,-11.0,1299.4967231258515
16.0,0.0,40.0,-0.88,-16.0,829.7000475678686
23.0,0.0,61.0,0.28,-23.0,16747.918804039422
0.0,0.0,213.0,-1.02,4.0,3481.2036121577726
9.0,1.0,20.0,-0.13,-9.0,6752.362493523852
3.0,0.0,2192.0,-1.79,426.0,10589.573121111685
121.0,0.0,1211.0,-1.87,152.0,2521.8275138196036
3.0,0.0,33.0,1.05,0.0,18690.9155954899
4.0,0.0,1.0,0.7,-4.0,3082.3683653812477
25.0,30.0,600.0,-1.27,-25.0,8432.288335196441
291.0,39.0,918.0,0.23,-290.0,2365.5214935631307
78.0,8.0,168.0,-2.94,-78.0,745.0876766613787
12.0,2.0,49.0,0.15,-11.0,1534.8746274905436
6.0,3.0,69.0,-0.71,-6.0,1548.1863676672688
110.0,0.0,1118.0,-1.42,-109.0,2023.3311578387602
433.0,0.0,48.0,0.62,-339.0,40644.804043404576
0.0,17.0,340.0,-0.07,0.0,6213.501276499207
123.0,0.0,21914.0,0.29,3569.0,59921.67470319648
1.0,1.0,14.0,-1.68,-1.0,721.7534940250521
6.0,0.0,0.0,0.2,-6.0,2332.87385521957
